Designator,Mid X,Mid Y,Rotation,Layer
LED38,173.794924,-69.626389,180.0,bottom
LED39,192.844924,-69.626389,180.0,bottom
LED4,88.069924,-26.763889,180.0,bottom
LED40,211.894924,-69.626389,180.0,bottom
LED41,230.944924,-69.626389,180.0,bottom
LED42,249.994924,-69.626389,180.0,bottom
LED43,273.807424,-69.626389,180.0,bottom
LED44,302.382424,-69.626389,180.0,bottom
LED45,19.013674,-88.676389,180.0,bottom
LED46,45.207424,-88.676389,180.0,bottom
LED47,64.257424,-88.676389,180.0,bottom
LED48,83.307424,-88.676389,180.0,bottom
LED49,102.357424,-88.676389,180.0,bottom
LED5,107.119924,-26.763889,180.0,bottom
LED50,121.407424,-88.676389,180.0,bottom
LED51,140.457424,-88.676389,180.0,bottom
LED52,159.507424,-88.676389,180.0,bottom
LED53,178.557424,-88.676389,180.0,bottom
LED54,197.607424,-88.676389,180.0,bottom
LED55,216.657424,-88.676389,180.0,bottom
LED56,235.707424,-88.676389,180.0,bottom
LED57,266.663674,-88.676389,180.0,bottom
LED58,302.382424,-88.676389,180.0,bottom
LED59,23.776174,-107.726389,180.0,bottom
LED6,135.694924,-26.763889,180.0,bottom
LED60,54.732424,-107.726389,180.0,bottom
LED61,73.782424,-107.726389,180.0,bottom
LED62,92.832424,-107.726389,180.0,bottom
LED63,111.882424,-107.726389,180.0,bottom
LED64,130.932424,-107.726389,180.0,bottom
LED65,149.982424,-107.726389,180.0,bottom
LED66,169.032424,-107.726389,180.0,bottom
LED67,188.082424,-107.726389,180.0,bottom
LED68,207.132424,-107.726389,180.0,bottom
LED69,226.182424,-107.726389,180.0,bottom
LED7,154.744924,-26.763889,180.0,bottom
LED70,252.376174,-107.726389,180.0,bottom
LED71,283.332424,-112.488889,180.0,bottom
LED72,11.869924,-126.776389,180.0,bottom
LED73,30.919924,-126.776389,180.0,bottom
LED74,49.969924,-126.776389,180.0,bottom
LED75,69.019924,-126.776389,180.0,bottom
LED76,135.694924,-126.776389,180.0,bottom
LED77,202.369924,-126.776389,180.0,bottom
LED78,221.419924,-126.776389,180.0,bottom
LED79,240.469924,-126.776389,180.0,bottom
LED8,173.794924,-26.763889,180.0,bottom
LED80,264.282424,-131.538889,180.0,bottom
LED81,283.332424,-131.538889,180.0,bottom
LED82,302.382424,-131.538889,180.0,bottom
LED83,338.123889,-48.663889,180.0,bottom
LED84,357.173889,-48.663889,180.0,bottom
LED85,376.223889,-48.663889,180.0,bottom
LED86,395.273889,-48.663889,180.0,bottom
LED87,338.123889,-67.713889,180.0,bottom
LED88,357.173889,-67.713889,180.0,bottom
LED89,376.223889,-67.713889,180.0,bottom
LED9,192.844924,-26.763889,180.0,bottom
LED90,395.273889,-77.238889,180.0,bottom
LED91,338.123889,-86.763889,180.0,bottom
LED92,357.173889,-86.763889,180.0,bottom
LED93,376.223889,-86.763889,180.0,bottom
LED94,338.123889,-105.813889,180.0,bottom
LED95,357.173889,-105.813889,180.0,bottom
LED96,376.223889,-105.813889,180.0,bottom
LED97,395.273889,-115.338889,180.0,bottom
LED98,347.648889,-124.863889,180.0,bottom
LED99,376.223889,-124.863889,180.0,bottom
Q1,12.75,-5.25,90.0,top
Q2,6.0,-11.75,0.0,top
Q3,16.4375,-6.55,180.0,top
R1,10.75,-12.75,180.0,bottom
R10,8.5,-7.25,270.0,top
R11,44.25,-10.75,90.0,bottom
R12,26.0,-30.0,0.0,top
R13,5.0,-14.25,270.0,bottom
R14,21.25,-18.0,0.0,top
R15,20.75,-6.25,180.0,bottom
R16,26.25,-7.5,90.0,top
R17,24.0,-7.5,270.0,top
R18,335.25,-22.0,270.0,top
R19,332.25,-19.25,0.0,top
R2,34.75,-3.0,90.0,bottom
R20,333.25,-22.0,270.0,top
R21,342.0,-22.0,0.0,top
R22,339.0,-19.75,0.0,top
R3,20.5,-7.0,0.0,top
R4,32.25,-3.0,90.0,bottom
R5,10.0,-12.25,0.0,top
R6,13.75,-10.0,180.0,top
R7,25.9,-27.5,0.0,top
R8,46.25,-10.75,270.0,bottom
R9,10.75,-8.0,90.0,top
RE1,361.25,-20.0,0.0,top
SPDT1,21.75,-1.25,0.0,top
SS34,7.25,-10.0,270.0,bottom
SW1,11.231035,-19.23195,180.0,bottom
SW10,219.828535,-19.23195,180.0,bottom
SW11,238.878535,-19.23195,180.0,bottom
SW12,257.928535,-19.23195,180.0,bottom
SW13,276.978535,-19.23195,180.0,bottom
SW14,301.743535,-19.23195,180.0,bottom
SW15,11.231035,-43.04445,180.0,bottom
SW16,30.281035,-43.04445,180.0,bottom
SW17,49.331035,-43.04445,180.0,bottom
SW18,68.381035,-43.04445,180.0,bottom
SW19,87.431035,-43.04445,180.0,bottom
SW2,49.331035,-19.23195,180.0,bottom
SW20,106.481035,-43.04445,180.0,bottom
SW21,125.531035,-43.04445,180.0,bottom
SW22,144.581035,-43.04445,180.0,bottom
